Body Number1
1230
0.00	-10
8.95	-10.1
17.89	-10.2
26.84	-10.4
35.79	-10.8
44.74	-11.5
53.68	-12.5
62.63	-14.0
71.58	-16.0
80.53	-19.0
89.47	-22.5
98.42	-26.5
107.37	-30.5
116.32	-33.0
125.26	-30.5
134.21	-26.5
143.16	-22.5
152.11	-19.0
161.05	-16.0
170.00	-14.0
170.00	-12.5
161.05	-11.5
152.11	-10.8
143.16	-10.4
134.21	-10.2
125.26	-10.1
116.32	-10.0
107.37	-9.9
98.42	-10.0
89.47	-10.1
80.53	-10.2
71.58	-10.4
62.63	-10.8
53.68	-11.5
44.74	-12.5
35.79	-10.8
26.84	-10.4
17.89	-10.2
8.95	-10.1
0.00	-10.12
