Body Number3
90.00	-50.00001
89.74	-46.79
88.97	-43.67
87.71	-40.71
85.99	-37.99
83.85	-35.58
81.36	-33.54
78.57	-31.93
75.56	-30.79
72.41	-30.15
69.19	-30.02
66.00	-30.40
62.91	-31.30
60.00	-32.68
57.35	-34.51
55.03	-36.74
53.10	-39.31
51.60	-42.16
50.58	-45.21
50.06	-48.39
50.06	-51.61
50.58	-54.79
51.60	-57.84
53.10	-60.69
55.03	-63.26
57.35	-65.49
60.00	-67.32
62.91	-68.70
66.00	-69.60
69.19	-69.98
72.41	-69.85
75.56	-69.21
78.57	-68.07
81.36	-66.46
83.85	-64.42
85.99	-62.01
87.71	-59.29
88.97	-56.33
89.74	-53.21
90.00	-50.0001
