Body Number1
200
0.00	-10.16
8.95	-9.74
17.89	-10.40
26.84	-9.85
35.79	-9.10
44.74	-10.64
53.68	-10.61
62.63	-9.62
71.58	-10.02
80.53	-9.81
89.47	-9.36
98.42	-10.07
107.37	-10.32
116.32	-10.17
125.26	-10.49
134.21	-10.04
143.16	-9.50
152.11	-10.23
161.05	-10.39
170.00	-9.63
170.00	-45.17
161.05	-45.43
152.11	-44.88
143.16	-45.15
134.21	-45.03
125.26	-44.88
116.32	-45.34
107.37	-45.28
98.42	-44.52
89.47	-46.37
80.53	-45.03
71.58	-44.79
62.63	-44.88
53.68	-44.61
44.74	-45.38
35.79	-45.01
26.84	-45.02
17.89	-45.13
8.95	-44.49
0.00	-44.23


